Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
Bhaskar Agro Chemicals Ltd,BHASKAGR,,"29.1739448","57.98","80","83","69",,"32"
TCM Ltd,TCMLMTD,"Commodity Chemicals","29.156242423000002","39.4","9",,"29",,"32"
Vanta Bioscience Ltd,VANTABIO,"Labs & Life Sciences Services","29.092008","48.39",,,,,
Fischer Chemic Ltd,FISCHER,"Commodity Chemicals","29.0625","116.25",,,,,
Unique Organics Ltd,UNIQUEO,"Packaged Foods & Meats","29.020875","46.4","14",,"23",,"25"
Quadpro Ites Ltd,QUADPRO,"Business Support Services","28.8135","5.7",,,,,"5"
Jindal Hotels Ltd,JINDHOT,"Hotels, Resorts & Cruise Lines","28.735","41.44","43",,"7",,"14"
Erp Soft Systems Ltd,ERPSOFT,"Software Services","28.6902","72.45",,,,,
JBF Industries Ltd,JBFIND,"Textiles","28.65514715","3.5",,,,"1.35245901639344","90"
Rite Zone Chemcon India Ltd,RITEZONE,"Construction & Engineering","28.4274144","65.7",,,,,"10"
Vaxtex Cotfab Ltd,VCL,"Textiles","28.41527025","2.35",,,,,
SBI-ETF 10 year Gilt,SETF10GILT,"Debt","28.388294608000002","218",,,,,
Dharani Sugars and Chemicals Ltd,DHARSUGAR,"Sugar","28.386","8.55","1",,"2",,"22"
Aspira Pathlab & Diagnostics Ltd,ASPIRA,"Hospitals & Diagnostic Centres","28.30575","27.05","47","99","1",,"42"
E-Land Apparel Ltd,ELAND,"Apparel & Accessories","28.266386241000003","5.8","65",,"37",,"97"
Aanchal Ispat Ltd,AANCHALISP,"Iron & Steel","28.25683125","13.26","65",,"43",,"31"
Tyroon Tea Co Ltd,TYROON,,"28.1863985","85","82","100","27",,"70"
Super Crop Safe Ltd,SUCROSA,"Commodity Chemicals","28.15015","6.67","23",,"40",,"18"
Jigar Cables Ltd,JIGAR,"Cables","28.128","40",,,,,"19"
Labelkraft Technologies Ltd,LABELKRAFT,,"28.070332","86",,,,,
Mohit Paper Mills Ltd,MOHITPPR,"Paper Products","28.07","20.43","71",,"60",,"6"
Hipolin Ltd,HIPOLIN,,"27.9593777","89","33",,"56",,"1"
Balkrishna Paper Mills Ltd,BALKRISHNA,"Paper Products","27.9235944","26.2","12",,"39",,"12"
Prakash Woollen & Synthetic Mills Ltd,PWASML,"Textiles","27.89626025","26.62","23",,"18",,"1"
LCC Infotech Ltd,LCCINFOTEC,"IT Services & Consulting","27.89550104","2.2",,,,,
G.S. Auto International Ltd,GSAUTO,"Auto Parts","27.8679936","19","80",,"75",,"23"
Ravi Kumar Distilleries Ltd,RKDL,"Alcoholic Beverages","27.84","11.6",,,,,"26"
Kotak It ETF,KOTAKIT,"Equity","27.800666394","32.54",,,,,
Greencrest Financial Services Ltd,GREENCREST,,"27.778608","0.75","42",,"14",,"17"
Hardcastle and Waud Manufacturing Co Ltd,HARDCAS,"Commodity Chemicals","27.763307639999997","407","93","91","74",,"32"
DRA Consultants Ltd,DRA,,"27.69925","25.25",,,,,"27"
TGB Banquets and Hotels Ltd,TGBHOTELS,"Hotels, Resorts & Cruise Lines","27.675648","9.55","4",,"13","5.08888888888889","1"
The Victoria Mills Ltd,VICTMILL,"Real Estate","27.552448","2775.1",,,,,"4"
Winsome Breweries Ltd,WINSOMBR,,"27.5028866","9.95","18",,"41",,"6"
Johnson Pharmacare Ltd,JOHNPHARMA,,"27.5","0.5",,,,,
Tamilnadu Telecommunication Ltd,TNTELE,"Telecom Equipments","27.4086","6","20",,"11",,"100"
Centenial Surgical Suture Ltd,CSURGSU,"Health Care Equipment & Supplies","27.3914364","76.99","79",,"42",,"55"
Jaipan Industries Ltd,JAIPAN,"Home Electronics & Appliances","27.3882816","45.05","40",,"55",,"33"
Sj Corporation Ltd,SJCORP,"0","27.33756","31.09",,,,,"48"
Ladderup Finance Ltd,LADDERUP,"Investment Banking & Brokerage","27.2860698","20.51","26",,"32",,"19"
Caprolactam Chemicals Ltd,CAPRO,,"27.094","58.9","80",,"57",,"16"
Pulsar International Ltd,PULSRIN,"Asset Management","27","88.9",,,,,
Apex Capital and Finance Ltd,ACFL,"Consumer Finance","26.995099680000003","45.6",,,,,
Axis Healthcare ETF,AXISHCETF,"Equity","26.973934176","93.07",,,,,
HDFC Nifty IT ETF,HDFCNIFIT,"Equity","26.947385721","314.85",,,,,
Sumeet Industries Ltd,SUMEETINDS,"Textiles","26.947021139999997","2.6",,,,,"74"
Titaanium Ten Enterprise Ltd,TITAANIUM,"Textiles","26.914028","40",,,,,"75"
Moxsh Overseas Educon Ltd,MOXSH,"Academic & Educational Services","26.8896","120",,"91",,,"35"
OCL Iron and Steel Ltd,OISL,"Iron & Steel","26.882317810000004","1.85",,,,,
Jetking Infotrain Ltd,JETKINGQ,"Education Services","26.879125","45.95","32","98","9",,"11"
Sri Havisha Hospitality and Infrastructure Ltd,HAVISHA,"Oil & Gas - Storage & Transportation","26.868765","1.75","19",,"10",,"6"
Heads UP Ventures Limited,HEADSUP,"Textiles","26.830369935","12.1","9",,"30",,"1"
Rita Finance and Leasing Ltd,RFLL,,"26.8","26","80",,"78",,"18"
Blue Chip Tex Industries Ltd,BLUECHIPT,"Textiles","26.7988","141.75","88","98","53",,"82"
Transchem Ltd,TRANSCHEM,"Pharmaceuticals","26.79336","22.01",,,,,
Destiny Logistics & Infra Ltd,DESTINY,"Logistics","26.77512","17.4",,,,,"47"
Narmada Agrobase Ltd,NARMADA,"Agro Products","26.75871015","19.7",,,,,"6"
Elnet Technologies Ltd,ELNET,"IT Services & Consulting","26.740046795","298.05","98","100","56",,"16"
Paras Petrofils Ltd,PARASPETRO,"Textiles","26.73768","0.8",,,,,
MT Educare Ltd,MTEDUCARE,"Education Services","26.724379980000002","3.75","33",,"2","2.51111111111111","15"
Jainex Aamcol Ltd,JAINEX,,"26.6348164","176.5","80","77","64",,"32"
Teesta Agro Industries Ltd,TEEAI,,"26.60823","49.8",,,,,
Gold Line International Finvest Ltd,GOLDLINE,"Diversified Financials","26.569215","0.5",,,"20",,
City Pulse Multiplex Ltd,CPML,,"26.544264","80",,,,,"11"
Sharika Enterprises Ltd,SHARIKA,"Construction & Engineering","26.4563","6.14","6",,"21",,"4"
Ansal Housing Ltd,ANSALHSG,"Real Estate","26.391978812","3.8","13",,"18",,"55"
Orient Beverages Ltd,ORIBEVER,"Soft Drinks","26.3703","118.05","38","64","30",,"6"
Omfurn India Ltd,OMFURN,"Home Furnishing","26.36244","40.6",,,,,
Sarthak Industries Ltd,SARTHAKIND,"Commodities Trading","26.2772104","28.1","49",,"15",,"66"
Cybele Industries Ltd,CYBELEIND,,"26.2154058","24.5","70",,"83",,"2"
Aaswa Trading and Exports Ltd,AASWA TRAD.,,"26.1577782","19.7",,,,,
VMS Industries Ltd,VMS,"Shipbuilding","26.093851344","16.5","42",,"55",,"12"
GG Dandekar Machine Works Ltd,GGDANDE,"Industrial Machinery","26.073355212","57.98","30",,"35",,"14"
Mega Corp Ltd,MEGACOR,"Diversified Financials","26","2.54","50",,"49",,"12"
Gini Silk Mills Ltd,GINISILK,"Textiles","25.9944048","45.99","58",,"61",,"7"
WINPRO INDUSTRIES LIMITED,WINPRO,"Advertising","25.9901486","2.6","17",,"44",,"11"
Prospect Commodities Ltd,PCL,,"25.974675","63.5",,,,,
Mihika Industries Ltd,MIHIKA,"Commodities Trading","25.9","25.9",,,,,"15"
Solitaire Machine Tools Ltd,SOLIMAC,"Industrial Machinery","25.8904032","57.3","46",,"47",,"5"
VSF Projects Ltd,VSFPROJ,"Construction & Engineering","25.82338","45","21",,"51",,"16"
G K P Printing & Packaging Ltd,GKP,"Packaging","25.782631104","11.7","51",,"24",,"89"
Educomp Solutions Ltd,EDUCOMP,"Education Services","25.71810528","2.1",,,,,
Grovy India Ltd,GROVY,"Real Estate","25.592305968","72.93",,"64",,,"17"
Lex Nimble Solutions Ltd,LEX,"IT Services & Consulting","25.559","61",,,,,"13"
Impex Ferro Tech Ltd,IMPEXFERRO,"Iron & Steel","25.500165159999998","2.85","40",,"26",,"97"
Refnol Resins and Chemicals Ltd,REFNOL,,"25.4947649","81","63",,"55",,"72"
Sabar Flex India Ltd,SABAR,"Packaging","25.46749556","14.75",,,,,
Anuroop Packaging Ltd,ANUROOP,,"25.452581","24",,,,,"85"
COSYN Ltd,COSYN,"IT Services & Consulting","25.44","34","40",,"49",,"3"
Goenka Diamond And Jewels Ltd,GOENKA,"Precious Metals, Jewellery & Watches","25.36","0.8",,,,,"2"
Agarwal Float Glass India Ltd,AGARWALFT,"Commodity Chemicals","25.352208","35.25",,,,,"70"
Sancode Technologies Ltd,SANCODE,,"25.2269754","60",,,,,"13"
ASL Industries Ltd,ASLIND,"Industrial Machinery","25.2093578","24.2",,,,,"15"
Continental Seeds and Chemicals Ltd,CONTI,"Seeds","25.20707616","26",,,,,
Dr Habeebullah Life Sciences Ltd,SAMSRITA,,"25.204417612","17.48","2",,"1",,"4"
Naapbooks Ltd,NBL,,"25.1923014","83.79",,,,,
Zenlabs Ethica Ltd,ZENLABS,"Pharmaceuticals","25.174228005","36.6","6",,"7",,"24"
Dipna Pharmachem Ltd,DPL,,"25.16094","21.49","60",,"29",,"96"
Ravalgaon Sugar Farm Ltd,RAVALSUGAR,"Packaged Foods & Meats","25.16","3700",,,,,"3"
Concord Drugs Ltd,CONCORD,"Pharmaceuticals","25.151769","27","15",,"11",,"29"
Simplex Realty Ltd,SIMPLXREA,"Real Estate","25.1276088","85.1","49","82","29",,"14"
Gayatri Rubbers and Chemicals Ltd,GRCL,"Tires & Rubber","25.10375","48.1",,,,,"4"
Easun Capital Markets Ltd,EASUN,,"25.1002032","48",,,,,"7"
Amco India Ltd,AMCOIND,,"25.05867","59.59","56","100","22",,"26"
Osiajee Texfab Ltd,OSIAJEE,"Textiles","25.0398","45.98","14",,"32",,"1"
Omkar Pharmachem Ltd,OMKARPH,"Commodity Chemicals","25.010304","24.8",,,,,
Vivo Collaboration Solutions Ltd,VIVO,"Telecom Services","24.986","117.8",,"98",,,"40"
Utique Enterprises Ltd,UTIQUE,,"24.974022834","4.8","85",,"31",,"43"
Contil India Ltd,CONTILI,"Packaged Foods & Meats","24.9037312","79.53","68",,"80",,"45"
Visagar Polytex Ltd,VIVIDHA,"Textiles","24.87954539","0.85","5",,"15",,"7"
SBI-ETF Nifty Next 50,SETFNN50,"Equity","24.859794348","465.69",,,,,
Zenith Fibres Ltd,ZENIFIB,"Textiles","24.781006488","63.01","83","99","49",,"40"
Shubham Polyspin Ltd,SHUBHAM,"Textiles","24.741002","20.7","40",,"17",,"15"
Medinova Diagnostic Services Ltd,MEDINOV,"Hospitals & Diagnostic Centres","24.73442958","24.98","25",,"22",,"20"
Khaitan (India) Ltd,KHAITANLTD,"Sugar","24.7","52.4","52",,"26",,"72"
Cyber Media India Ltd,CYBERMEDIA,"Publishing","24.67590615","15.85","34",,"4",,"97"
Alacrity Securities Ltd,ALSL,"Investment Banking & Brokerage","24.6636","11.7",,,,,"32"
Aditya Birla Sun Life Nifty Healthcare ETF,HEALTHY,"Equity","24.652576575","9.31",,,,,
A G Universal Ltd,AGUL,"Iron & Steel","24.65058","45.9",,,,,"91"
Omkar Speciality Chemicals Ltd,OMKARCHEM,"Specialty Chemicals","24.59071","11.95",,,,"0.715686274509804",
Patron Exim Ltd,PATRON,,"24.50126","10.49",,,,,"41"
White Organic Agro Ltd,WHITEORG,"FMCG - Foods","24.5","6.91",,,"5",,
Sanghvi Forging and Engineering Ltd,SANGHVIFOR,"Iron & Steel","24.42331788","16.4",,,,"2.48433734939759","3"
Ashiana Ispat Ltd,ASHIS,"Iron & Steel","24.3882176","30.04","88",,"43",,"69"
Yash Management and Satellite Ltd,YASHMGM,,"24.378","14.49","81",,"87",,"1"
Tai Industries Ltd,TAIIND,,"24.336","40.25","67","99","36",,"61"
Reetech International Cargo & Courier Ltd,REETECH,,"24.305825","57.5",,"100",,,"95"
Everlon Financials Ltd,EVERFIN,,"24.25434336","44.08",,,,,
ICL Organic Dairy Products Ltd,ICLORGANIC,,"24.234848447999997","40.38",,,,,"11"
ETT Ltd,ETT,"Real Estate","24.221189759999998","24.52","66",,"26",,"63"
VAMA Industries Ltd,VAMA,"Technology Hardware","24.22094","4.69","7",,"21",,"11"
Olatech Solutions Ltd,OLATECH,,"24.219","103.5",,,,,"16"
Infronics Systems Ltd,INFRONICS,"IT Services & Consulting","24.167779589","29.04","2",,"9",,"23"
SRU Steels Ltd,SRUSTEELS,"Iron & Steel","24.1195542","19.99",,,,,"1"
Asian Tea & Exports Ltd,ASIANTNE,,"24.1","12.15","11",,"11",,"6"
Swasti Vinayaka Art and Heritage Corporation Ltd,SVARTCORP,"Real Estate","24.03","2.68","67",,"36",,"25"
CNI Research Ltd,CNIRESLTD,"Diversified Financials","23.9941405","2.05","60",,"40",,"16"
Vapi Enterprise Ltd,VAPIPPR,,"23.955225","108",,,,,"32"
India Cements Capital Ltd,INDCEMCAP,"Tour & Travel Services","23.87682","11.5","42",,"46",,"14"
Command Polymers Ltd,COMMAND,,"23.816818","25.4",,,,,"2"
RICHA INFO SYSTEMS LIMITED,RICHA,"Academic & Educational Services","23.814","98",,"70",,,"6"
MFL India Ltd,MFLINDIA,,"23.779272","0.64","27",,"9",,"22"
Nagreeka Capital & Infrastructure Ltd,NAGREEKCAP,"Asset Management","23.6536875","19.2","100",,"89","2.67391304347826","3"
Vandana Knitwear Ltd,VANDANA,"Apparel & Accessories","23.64370047","2.14",,,,,"3"
Odyssey Corporation Ltd,ODYCORP,,"23.5971258","5.8","87",,"34",,"62"
Triveni Glass Ltd,TRIVENIGQ,"Building Products - Glass","23.53524441","18.47","4",,"24",,
Elixir Capital Ltd,ELIXIR,"Diversified Financials","23.50296","41.1",,,,,"36"
MRC Exim Ltd,MRCAGRO,"Commodities Trading","23.3844996","21.32","4",,"16",,"10"
Roselabs Finance Ltd,ROSELABS,"Diversified Financials","23.38","22.22",,,,,
Infomedia Press Ltd,INFOMEDIA,"Publishing","23.34028998","4.85","6",,"30",,
HDFC Silver ETF,HDFCSILVER,"Equity","23.31605892","74.56",,,,,
Sarvottam Finvest Ltd,SARVOTTAM,"Investment Banking & Brokerage","23.3025","29.86",,,,,"13"
KSK Energy Ventures Ltd,KSK,"Power Infrastructure","23.3015468516459","0.55",,,,,
Williamson Magor and Co Ltd,WILLAMAGOR,"Specialized Finance","23.282265","21.25",,,,,"30"
Worth Investment & Trading Co Ltd,WORTH,,"23.23743","36.71",,,,,"1"
Bombay Talkies Ltd,BOMTALKIES,,"23.22","4.3",,,,,"17"
California Software Company Ltd,CALSOFT,"IT Services & Consulting","23.185659","14.95","1",,"1","4.2974358974359","50"
N K Industries Ltd,NKIND,"Packaged Foods & Meats","23.138115","37.3",,,,"4.26865671641791","13"
Tasty Dairy Specialities Ltd,TDSL,"Agro Products","23.12676","11.84","4",,"9",,"24"
Arcotech Ltd,ARCOTECH,"Metals - Diversified","23.1","2.2",,,,,"23"
Uniinfo Telecom Services Ltd,UNIINFO,"Telecom Services","23.0971392","22.05","20",,"38",,"19"
Brandbucket Media & Technology Ltd,BRANDBUCKT,,"23.096097","22.1",,,,,
Venlon Enterprises Ltd,VENLONENT,"Commodity Chemicals","23.038939854","4.32","5",,"22",,"13"
SOFCOM Systems Ltd,SOFCOM,"IT Services & Consulting","22.964685","58.03","56","90","46",,
Quality Foils India Ltd,QFIL,"Metals - Diversified","22.94616","82.5",,"90",,,"31"
Link Pharma Chem Limited,LINKPH,,"22.89112804","52.58","66","92","47",,"17"
Jupiter Infomedia Ltd,JUPITERIN,"Publishing","22.87566","22.5","3",,"2",,"2"
Ashirwad Capital Ltd,ASHCAP,"Diversified Financials","22.86","3.8","50",,"49",,"10"
Benara Bearings and Pistons Ltd,BENARA,"Auto Parts","22.84240152","13.86",,,,,"10"
Yash Innoventures Ltd,YASHINNO,,"22.71076585","34","54",,"74",,"1"
Real Touch Finance Ltd,RTFL,"Diversified Financials","22.68183703","18.76","57",,"47",,"22"
Ambo Agritec Ltd,AMBOAGRI,,"22.6423356","23.81",,,,,"60"
Polo Hotels Ltd,POLOHOT,,"22.597995530000002","10.25",,,,,
Smart Finsec Ltd,SMARTFIN,,"22.59","7.57",,,,,
Marble City India Ltd,MARBLE,,"22.556517504","17.95","22",,"17",,"25"
Sheetal Diamonds Ltd,SHEETAL,"Precious Metals, Jewellery & Watches","22.5","23.62","73",,"96",,"5"
Nivaka Fashions Ltd,NIVAKA,,"22.48911","2.2","1",,"1",,"1"
Axis Consumption ETF,AXISCETF,"Equity","22.46870916","86.36",,,,,
Ishita Drugs and Industries Ltd,ISHITADR,"Pharmaceuticals","22.457153","75.15","54",,"30",,"61"
Rex Sealing & Packing Industries Ltd,REXSEAL,,"22.422","100",,,,,"20"
White Organic Retail Ltd,WORL,"Agro Products","22.41594","6.7","61",,"2",,"41"
Hind Aluminium Industries Ltd,HINDALUMI,"Metals - Aluminium","22.397211","36.5","84",,"45",,"35"
Espire Hospitality Ltd,ESPIRE,"0","22.2992197895661","16.51",,,,,"11"
One Global Service Provider Ltd,ONEGLOBAL,,"22.287465859","33.47","22",,"27",,"23"
Sanwaria Consumer Ltd,SANWARIA,"FMCG - Foods","22.083","0.3",,,,,
SMIFS Capital Markets Ltd,SMIFS,"Investment Banking & Brokerage","22.06075","39.3","40",,"36",,"11"
ICICI Prudential 5 YEAR G-SEC ETF,ICICI5GSEC,"Debt","21.99720003","53.24",,,,,
Oasis Securities Ltd,OASISEC,"Diversified Financials","21.9965","118.9",,,,,
Inland Printers Ltd,INLANPR,,"21.9502944","46",,,,,
Trivikrama Industries Ltd,TRIVIKRAMA,"Commodities Trading","21.926889","30.82",,,,,
Palco Metals Ltd,PALCO,,"21.796","52.3","70","100","38",,"76"
Panjon Ltd,PANJON,"Pharmaceuticals","21.69818","13.85","25",,"22",,"41"
Nalin Lease Finance Ltd,NLFL,"Consumer Finance","21.641994","33","98","98","78",,"23"
ITCONS e-Solutions Ltd,ITCONS,,"21.6235218","43",,,,,"40"
Amin Tannery Ltd,AMINTAN,,"21.594672","2.03","24",,"5",,"46"
Gautam Exim Ltd,GEL,"Paper Products","21.567","70",,"75",,,"26"
KMG Milk Food Ltd,KMGMILK,"FMCG - Foods","21.5472852","40.62",,,,,"2"
Ador Multi Products Ltd,ADORMUL,"FMCG - Personal Products","21.536100863999998","44.77","1",,"2",,"2"
Diggi Multitrade Ltd,DML,,"21.5130825","22.05",,,,,
Nidhi Granites Ltd,NIDHGRN,"Investment Banking & Brokerage","21.480127305","76.95",,,,,
Nippon India ETF Nifty IT,ITBEES,"Equity","21.450464595","32.76",,,,,
Focus Business Solution Ltd,FOCUS,,"21.4423","96",,,,,
Supra Pacific Management Consultancy Ltd,SUPRAP,,"21.415263063999998","18.74",,,,,"2"
Valencia Nutrition Ltd,VALENCIA,,"21.397441371","38.31",,,,,"10"
Garnet Construction Ltd,GARNET,,"21.3537792","14.59","62",,"18",,"21"
Expo Gas Containers Ltd,EXPOGAS,,"21.3398044","11.26","69",,"73",,"39"
Fortune International Ltd,FORINTL,,"21.3312","30.99","59","100","3",,"25"
Netlink Solutions (India) Ltd,NETLINK,"IT Services & Consulting","21.25054845","83.9","64","91","48",,"8"
Rathi Steel and Power Ltd,RATHIST,,"21.226899258","7.11",,,,,"66"
Pro Fin Capital Services Ltd,PROFINC,"Investment Banking & Brokerage","21.2007","1","82",,"23",,"6"
Monotype India Ltd,MONOT,"Diversified Financials","21.093656669999998","0.29",,,,,
Tuni Textile Mills Ltd,TUNITEX,"Textiles","21.031591","1.61","7",,"20",,"11"
Dmr Hydroengineering & Infrastructures Ltd,DMR,,"21.0232204","59.24",,,,,
Nanavati Ventures Ltd,NVENTURES,,"21.015","45",,,,,"52"
Twentyfirst Century Management Services Ltd,21STCENMGM,"Investment Banking & Brokerage","21","20.4",,,,,
Nippon India ETF Consumption,CONSUMBEES,"Equity","20.996392725","93.05",,,,,
Gujarat Petrosynthese Ltd,GUJPETR,"Specialty Chemicals","20.945803494","35","19",,"33",,"6"
Abhishek Integrations Ltd,AILIMITED,"Construction & Engineering","20.92495575","33.7",,,,,
Balurghat Technologies Ltd,BALTE,"Logistics","20.9118","11.59","81",,"42",,"18"
Ironwood Education Ltd,IRONWOOD,,"20.907998459999998","25.5","2",,"16",,"6"
RTCL Ltd,RAGHUTOB,"Real Estate","20.8820358","17.2","68",,"66",,
DSP Silver ETF,DSPSILVETF,"Equity","20.802747875","74.99",,,,,
Gian Life Care Ltd,GIANLIFE,,"20.78646324","20",,,"19",,
Laxmipati Engineering Works Ltd,LAXMIPATI,"Industrial Machinery","20.7072","36",,,,,"5"
Le Lavoir Ltd,LELAVOIR,,"20.69388","65.5","42",,"66",,"10"
Gujarat Hy Spin Ltd,GUJHYSPIN,,"20.68625","12.35",,,,,"52"
Stampede Capital Ltd,SCAPDVR,"Investment Banking & Brokerage","20.68264692","10.9",,,,,"1"
SBEC Systems (India) Ltd,SBECSYS,"IT Services & Consulting","20.6","20.4",,,,,"41"
Cityman Ltd,CITYMAN,"Textiles","20.593936","18.47",,,,,"32"
Vikas Proppant & Granite Ltd,VIKASPROP,"Agro Products","20.587","0.4",,,,,
Tinna Trade Ltd,TINNATFL,"Agro Products","20.56396475","23.85","54",,"7",,"94"
Salguti Industries Ltd,SALGUTI,,"20.5299708","27.24",,,,,"87"
Suumaya Corporation Ltd,SUUMAYA,,"20.495386896","8.16","52",,"15",,"11"
Lerthai Finance Ltd,LERTHAI,"Diversified Financials","20.44","292",,,,,"13"
Zenith Healthcare Ltd,ZENITHHE,,"20.42082","3.78","9",,"2",,"78"
Shree Hari Chemicals Export Ltd,SHHARICH,,"20.4129633","45.55",,,,,"1"
Kridhan Infra Ltd,KRIDHANINF,"Iron & Steel","20.377529075","2.05","6",,"30",,"39"
Indiabulls NIFTY50 Exchange Traded Fund,IBMFNIFTY,"Equity","20.204048429","196.56",,,,,
Genus Prime Infra Ltd,GENUSPRIME,"Real Estate","20.195473319999998","13.2","39",,"48",,"5"
AKM Lace and Embrotex Ltd,AKM,"Textiles","20.1815725","67",,,,,"1"
Fine-Line Circuits Ltd,FINELINE,,"20.125392196","41.9","29",,"32",,"56"
Haryana Leather Chemicals Ltd,HARLETH,,"20.124727","40.95","96",,"60",,"81"
Grand Foundry Ltd,GFSTEELS,"Iron & Steel","20.0838","6.6",,,,,
Nippon India ETF Sensex Next 50,SNXT50BEES,"Equity","20.010432868000002","56",,,,,
Citadel Realty and Developers Ltd,CITADEL,,"20.00672193","26.7",,,,,
Mohit Industries Ltd,MOHITIND,"Textiles","19.96218075","14","14",,"21",,"5"
Alfa Ica India Ltd,ALFAICA,"Home Furnishing","19.94548","47.73",,,,,
Rishi Techtex Ltd,RISHITECH,"Textiles","19.940918","26.49","80",,"30",,"55"
Ranjeet Mechatronics Ltd,RANJEET,"Business Support Services","19.8659398","30.1",,,,,"85"
Modern Steel Ltd,MDRNSTL,"Iron & Steel","19.859084037","15.19","67","100","43",,"12"
Roopshri Resorts Ltd,ROOPSHRI,"0","19.842468","34",,,,,
Veer Energy & Infrastructure Ltd,VEERENRGY,,"19.825888875","13.44","9",,"13",,"11"
E L Forge Ltd,ELFORGE,"Iron & Steel","19.795872096","9.5",,,,,"3"
Crestchem Ltd,CRSTCHM,"Specialty Chemicals","19.776","62.65","74",,"74",,"19"
Jayshree Chemicals Ltd,JAYCH,"Commodity Chemicals","19.766032018","6.72","5",,"18",,"9"
Maks Energy Solutions India Ltd,MAKS,"Electrical Components & Equipments","19.7641515","28.5",,,,,"70"
Raj Packaging Industries Ltd,RAJPACK,,"19.6956225","41.5","92","97","75",,"68"
ICICI Prudential FMCG ETF,ICICIFMCG,"Equity","19.692535094","559.29",,,,,
Onesource Ideas Venture Ltd,OIVL,"Investment Banking & Brokerage","19.68","64",,,,,"23"
Rithwik Facility Management Services Ltd,RITHWIKFMS,"Business Support Services","19.584","64",,"97",,,"86"
Sri Ramakrishna Mills (Coimbatore) Ltd,SRMCL,,"19.5754075","27.25","11",,"20",,"69"
Chennai Meenakshi Multispeciality Hospital Ltd,CMMHOSP,"Hospitals & Diagnostic Centres","19.4938812","24.85","67","100","26",,"46"
VERTEX Securities Ltd,VERTEX,,"19.465205707","2.56",,,,,"63"
Madhya Pradesh Today Media Ltd,MPTODAY,"Publishing","19.45968","42",,,,,
Husys Consulting Ltd,HUSYSLTD,"Employment Services","19.42484375","85.15",,,,,
Yashraj Containeurs Ltd,YASHRAJC,,"19.329","11.15","81",,"72",,"18"
ICICI Prudential Nifty 100 ETF,ICICINF100,"Equity","19.229981756999997","216.47",,,,,
Ishan International Ltd,ISHAN,"Industrial Machinery","19.10078395","25.25",,,,,"44"
Meenakshi Enterprises Ltd,JMUFIN,,"19.096","15.4","64",,"59",,"36"
SSPDL Ltd,SSPDL,"Real Estate","19.083573","15",,,,,"10"
Sangal Papers Ltd,SANPA,,"19.020633","142","72","93","31",,"50"
Easy Fincorp Ltd,EASYFIN,"Consumer Finance","19.020575","776.35",,,,,
Zodiac-JRD-MKJ Ltd,ZODJRDMKJ,"Precious Metals, Jewellery & Watches","19.005435122","36.98","81",,"39",,"33"
Informed Technologies India Ltd,INFORTEC,,"18.9527286","46.37","42","92","25",,"20"
Jaihind Synthetics Ltd,JAIHINDS,"Textiles","18.9480555","22.5",,,,,"7"
Quality RO Industries Ltd,QRIL,,"18.80625","73.75",,,,,"1"
Enbee Trade and Finance Ltd,ENBETRD,"Specialized Finance","18.778684029","13.76",,,,,
Roni Households Ltd,RONI,"Plastic Products","18.75662033","36.05",,,,,"32"
Hindustan Fluoro Carbons Ltd,HINFLUR,"Commodity Chemicals","18.7563387","9.57","5",,"29",,"18"
Anupam Finserv Ltd,ANUPAM,"Consumer Finance","18.733275","1.58","34",,"29",,"55"
Natraj Proteins Ltd,NATRAJPR,,"18.727506","50.5","62","100","8",,"41"
Martin Burn Ltd,MARBU,"Real Estate","18.698200452000002","37.84",,,,,"1"
Transvoy Logistics India Ltd,TRANSVOY,,"18.64128","70",,,,,"22"
Dynamic Industries Ltd,DYNAMIND,"Specialty Chemicals","18.625275","60.79","51","98","19",,"33"
EVOQ Remedies Ltd,EVOQ,,"18.6184","13.69",,,,,"2"
Ace men engg works Ltd,ACEMEN,"Diversified Financials","18.591","61.2","42",,"57",,"10"
H S India Ltd,HOTLSILV,"Hotels, Resorts & Cruise Lines","18.5767296","11.74","37",,"38",,"5"
Popular Estate Management Ltd,POPULARES,"Real Estate","18.5222646","13.89",,,,,
7NR Retail Ltd,7NR,"Apparel & Accessories","18.484488","0.66","3",,"10",,"35"
Bervin Investment and Leasing Ltd,BERVINL,"Diversified Financials","18.3784796","31.16",,,,,
MPIL Corporation Ltd,MPILCORPL,,"18.290464","320",,,,,
Scarnose International Ltd,SCARNOSE,,"18.27087","58",,,,,"39"
Eastern Treads Ltd,EASTRED,"Tires & Rubber","18.228288","34","49",,"55",,"48"
Nippon India ETF Infra BeES,INFRABEES,"Equity","18.095091273","614.23",,,,,
Neueon Towers Ltd,NTL,"Power Infrastructure","18.09425664","3.2",,,,,"21"
Kakatiya Textiles Ltd,KAKTEX,"Textiles","18.0942084","31.97","77","100","27",,"97"
Rajkamal Synthetics Ltd,RAJKSYN,"Textiles","18.083","26.75","5",,"28",,
Velan Hotels Ltd,VELHO,,"18.059727235","5.55","39",,"8",,"34"
Rodium Realty Ltd,RODIUM,"Real Estate","18.0267888","56.99","19",,"33",,"7"
Hisar Spinning Mills Ltd,HISARSP,"Textiles","17.99523","48.18",,"100",,,"14"
Incap Ltd,INCAP,,"17.9662","36","44",,"45",,"37"
